sample	query	model	description	bitscore	evalue
GCF_000024425.1	MRUB_RS15170	PF09344.10	CT1975-like protein	436.1	4.6e-133
GCF_000024425.1	MRUB_RS15160	PF08798.11	CRISPR associated protein	189.2	3.7e-58
GCF_000024425.1	MRUB_RS15150	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	120.8	6.4e-38
GCF_000024425.1	MRUB_RS13735	PF05107.12	CRISPR-associated protein Cas7	67.6	4.2e-21
GCF_000024425.1	MRUB_RS07555	PF13280.6	WYL domain	132.9	4e-41
GCF_000024425.1	MRUB_RS15180	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	119.7	4.6e-37
GCF_000024425.1	MRUB_RS07550	PF09704.10	CRISPR-associated protein (Cas_Cas5)	85.2	1.9e-26
GCF_000024425.1	MRUB_RS07545	PF09709.10	CRISPR-associated protein (Cas_Csd1)	312.0	2.6e-95
GCF_000024425.1	MRUB_RS07540	PF05107.12	CRISPR-associated protein Cas7	334.0	2e-102
GCF_000024425.1	MRUB_RS07525	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	282.2	2.8e-86
GCF_000024425.1	MRUB_RS07520	PF03787.15	RAMP superfamily	73.4	8.6e-23
GCF_000024425.1	MRUB_RS06235	PF13280.6	WYL domain	107.7	2.2e-33
GCF_000024425.1	MRUB_RS07505	PF09651.10	CRISPR-associated protein (Cas_APE2256)	105.0	9.2e-33
GCF_000024425.1	MRUB_RS07500	PF01930.17	Domain of unknown function DUF83	93.4	5.1e-29
GCF_000024425.1	MRUB_RS07495	PF01867.16	CRISPR associated protein Cas1	345.9	4.8e-106
GCF_000024425.1	MRUB_RS07490	PF09827.9	CRISPR associated protein Cas2	79.1	6.8e-25
GCF_000024425.1	MRUB_RS01695	PF13280.6	WYL domain	131.2	1.4e-40
GCF_000024425.1	MRUB_RS01145	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	313.3	6.5e-96
GCF_000024425.1	MRUB_RS01125	PF01867.16	CRISPR associated protein Cas1	246.6	8.8e-76
GCF_000024425.1	MRUB_RS01120	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	197.6	9.1e-61
GCF_000024425.1	MRUB_RS01115	PF10040.9	CRISPR-associated endoribonuclease Cas6	78.2	1.9e-24
GCF_000024425.1	MRUB_RS15185	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	455.8	6.2e-139
GCF_000024425.1	MRUB_RS07515	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	92.5	7.5e-29
GCF_000024425.1	MRUB_RS15195	PF13280.6	WYL domain	130.9	1.7e-40
GCF_000024425.1	MRUB_RS15165	PF09704.10	CRISPR-associated protein (Cas_Cas5)	180.4	1.4e-55
GCF_000024445.1	BDP_RS07900	PF09709.10	CRISPR-associated protein (Cas_Csd1)	333.3	1e-101
GCF_000024445.1	BDP_RS06090	PF18470.1	Cas9 alpha-helical lobe domain	280.9	2.2e-86
GCF_000024445.1	BDP_RS06090	PF18525.1	Cas9 C-terminal domain	107.5	1.3e-33
GCF_000024445.1	BDP_RS07905	PF09704.10	CRISPR-associated protein (Cas_Cas5)	148.3	9.4e-46
GCF_000024445.1	BDP_RS06085	PF01867.16	CRISPR associated protein Cas1	75.8	1e-23
GCF_000024445.1	BDP_RS06090	PF17894.1	Topo homolgy domain in CRISPR-associated endonuclease Cas9	106.4	1.9e-33
GCF_000024445.1	BDP_RS07885	PF09827.9	CRISPR associated protein Cas2	83.5	2.9e-26
GCF_000024445.1	BDP_RS07890	PF01867.16	CRISPR associated protein Cas1	329.9	3.8e-101
GCF_000024445.1	BDP_RS07895	PF05107.12	CRISPR-associated protein Cas7	247.1	6.5e-76
GCF_000024445.1	BDP_RS11150	PF01930.17	Domain of unknown function DUF83	103.1	5.3e-32
GCF_000024465.1	SAR116_RS13040	PF01867.16	CRISPR associated protein Cas1	119.5	5e-37
GCF_000024545.1	SNAS_RS17660	PF05107.12	CRISPR-associated protein Cas7	295.8	8.8e-91
GCF_000024545.1	SNAS_RS16770	PF13280.6	WYL domain	111.6	1.4e-34
GCF_000024545.1	SNAS_RS14930	PF13280.6	WYL domain	147.9	9.9e-46
GCF_000024545.1	SNAS_RS17665	PF09709.10	CRISPR-associated protein (Cas_Csd1)	298.7	2.9e-91
GCF_000024545.1	SNAS_RS18135	PF13280.6	WYL domain	80.4	5.3e-25
GCF_000024545.1	SNAS_RS08635	PF13280.6	WYL domain	148.6	5.9e-46
GCF_000024545.1	SNAS_RS21990	PF13280.6	WYL domain	121.3	1.5e-37
GCF_000024545.1	SNAS_RS21995	PF13280.6	WYL domain	104.2	2.6e-32
GCF_000024545.1	SNAS_RS35380	PF13280.6	WYL domain	103.4	4.7e-32
GCF_000024545.1	SNAS_RS23660	PF13280.6	WYL domain	71.8	2.3e-22
GCF_000024545.1	SNAS_RS26995	PF13280.6	WYL domain	101.6	1.6e-31
GCF_000024545.1	SNAS_RS28665	PF13280.6	WYL domain	139.9	2.7e-43
GCF_000024545.1	SNAS_RS17670	PF09704.10	CRISPR-associated protein (Cas_Cas5)	94.4	3e-29
GCF_000024565.1	SMON_RS05380	PF09827.9	CRISPR associated protein Cas2	59.9	7.1e-19
GCF_000024565.1	SMON_RS05385	PF01867.16	CRISPR associated protein Cas1	87.1	3.8e-27
GCF_000024605.1	ADEG_RS08920	PF01930.17	Domain of unknown function DUF83	71.8	2.3e-22
GCF_000024605.1	ADEG_RS08915	PF06023.12	CRISPR-associated exonuclease Csa1	253.2	1.1e-77
GCF_000024605.1	ADEG_RS03420	PF09827.9	CRISPR associated protein Cas2	72.7	7.2e-23
GCF_000024605.1	ADEG_RS08925	PF09827.9	CRISPR associated protein Cas2	70.5	3.3e-22
GCF_000024605.1	ADEG_RS04995	PF03787.15	RAMP superfamily	85.3	1.9e-26
GCF_000024605.1	ADEG_RS04100	PF03787.15	RAMP superfamily	66.2	1.4e-20
GCF_000024605.1	ADEG_RS04645	PF03787.15	RAMP superfamily	61.0	5.4e-19
GCF_000024605.1	ADEG_RS04990	PF03787.15	RAMP superfamily	82.1	2e-25
GCF_000024605.1	ADEG_RS04975	PF03787.15	RAMP superfamily	71.6	3.2e-22
GCF_000024605.1	ADEG_RS04960	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	187.4	1.2e-57
GCF_000024605.1	ADEG_RS04945	PF01930.17	Domain of unknown function DUF83	167.3	9.8e-52
GCF_000024605.1	ADEG_RS04930	PF05107.12	CRISPR-associated protein Cas7	198.1	5.9e-61
GCF_000024605.1	ADEG_RS04915	PF13280.6	WYL domain	166.0	2.7e-51
GCF_000024605.1	ADEG_RS03415	PF01867.16	CRISPR associated protein Cas1	317.1	3e-97
GCF_000024605.1	ADEG_RS08930	PF01867.16	CRISPR associated protein Cas1	259.2	1.3e-79
GCF_000024605.1	ADEG_RS04925	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	514.5	1.6e-156
GCF_000024605.1	ADEG_RS08990	PF10040.9	CRISPR-associated endoribonuclease Cas6	65.0	2.5e-20
GCF_000024605.1	ADEG_RS04920	PF01881.16	CRISPR associated protein Cas6	147.3	1.5e-45
GCF_000024605.1	ADEG_RS08985	PF13280.6	WYL domain	162.4	3.3e-50
GCF_000024665.1	FISUC_RS07810	PF03787.15	RAMP superfamily	115.9	8.7e-36
GCF_000024665.1	FISUC_RS07790	PF09455.10	CRISPR-associated (Cas) DxTHG family	200.9	1.4e-61
GCF_000024665.1	FISUC_RS07820	PF03787.15	RAMP superfamily	69.4	1.5e-21
GCF_000024665.1	FISUC_RS07760	PF09827.9	CRISPR associated protein Cas2	69.4	7.5e-22
GCF_000024665.1	FISUC_RS07755	PF01867.16	CRISPR associated protein Cas1	270.0	6.9e-83
GCF_000024665.1	FISUC_RS07145	PF13280.6	WYL domain	66.3	1.1e-20
GCF_000024665.1	FISUC_RS05775	PF13280.6	WYL domain	85.1	1.9e-26
GCF_000024665.1	FISUC_RS03690	PF13280.6	WYL domain	88.3	2.1e-27
GCF_000024665.1	FISUC_RS00725	PF09827.9	CRISPR associated protein Cas2	65.4	1.3e-20
GCF_000024665.1	FISUC_RS00720	PF01867.16	CRISPR associated protein Cas1	109.7	4.8e-34
GCF_000024665.1	FISUC_RS05340	PF13280.6	WYL domain	94.6	2.3e-29
GCF_000024665.1	FISUC_RS10525	PF13280.6	WYL domain	95.1	1.7e-29
GCF_000024725.1	NHAL_RS14190	PF01867.16	CRISPR associated protein Cas1	253.5	6.9e-78
GCF_000024725.1	NHAL_RS18970	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	119.9	1.3e-37
GCF_000024725.1	NHAL_RS13780	PF01867.16	CRISPR associated protein Cas1	239.7	1.1e-73
GCF_000024725.1	NHAL_RS13750	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	148.3	8.7e-46
GCF_000024725.1	NHAL_RS13730	PF03787.15	RAMP superfamily	60.7	6.6e-19
GCF_000024725.1	NHAL_RS19885	PF03750.13	Csm2 Type III-A	76.2	1.2e-23
GCF_000024725.1	NHAL_RS14185	PF01930.17	Domain of unknown function DUF83	83.6	5.4e-26
GCF_000024725.1	NHAL_RS09450	PF01867.16	CRISPR associated protein Cas1	334.1	1.9e-102
GCF_000024725.1	NHAL_RS13715	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	208.8	2.4e-64
GCF_000024725.1	NHAL_RS05890	PF01867.16	CRISPR associated protein Cas1	60.8	3.9e-19
GCF_000024725.1	NHAL_RS05900	PF09614.10	CRISPR-associated protein (Cas_Csy2)	183.1	2.5e-56
GCF_000024725.1	NHAL_RS05905	PF09615.10	CRISPR-associated protein (Cas_Csy3)	352.6	7.6e-108
GCF_000024725.1	NHAL_RS05910	PF09618.10	CRISPR-associated protein (Cas_Csy4)	141.1	1.4e-43
GCF_000024725.1	NHAL_RS09455	PF09827.9	CRISPR associated protein Cas2	82.8	4.9e-26
GCF_000024725.1	NHAL_RS09430	PF09704.10	CRISPR-associated protein (Cas_Cas5)	142.3	6.4e-44
GCF_000024725.1	NHAL_RS09435	PF09709.10	CRISPR-associated protein (Cas_Csd1)	567.4	1.2e-172
GCF_000024725.1	NHAL_RS09440	PF05107.12	CRISPR-associated protein Cas7	374.4	9.2e-115
GCF_000024725.1	NHAL_RS09445	PF01930.17	Domain of unknown function DUF83	114.7	1.4e-35
GCF_000024765.1	HNEAP_RS04180	PF09709.10	CRISPR-associated protein (Cas_Csd1)	545.6	4.7e-166
GCF_000024765.1	HNEAP_RS04175	PF05107.12	CRISPR-associated protein Cas7	357.8	1.1e-109
GCF_000024765.1	HNEAP_RS04170	PF01930.17	Domain of unknown function DUF83	104.9	1.5e-32
GCF_000024765.1	HNEAP_RS04185	PF09704.10	CRISPR-associated protein (Cas_Cas5)	125.4	9.5e-39
GCF_000024765.1	HNEAP_RS04150	PF09827.9	CRISPR associated protein Cas2	77.3	2.5e-24
GCF_000024765.1	HNEAP_RS04155	PF01867.16	CRISPR associated protein Cas1	330.0	3.5e-101
GCF_000024785.1	GBRO_RS04320	PF13280.6	WYL domain	110.2	3.7e-34
GCF_000024785.1	GBRO_RS03360	PF13280.6	WYL domain	119.0	7.4e-37
GCF_000024785.1	GBRO_RS12265	PF13280.6	WYL domain	89.3	9.9e-28
GCF_000024785.1	GBRO_RS15440	PF13280.6	WYL domain	117.3	2.5e-36
GCF_000024785.1	GBRO_RS12260	PF13280.6	WYL domain	111.4	1.6e-34
GCF_000024805.1	HOCH_RS28600	PF13280.6	WYL domain	139.5	3.7e-43
GCF_000024805.1	HOCH_RS28595	PF13280.6	WYL domain	112.8	6.1e-35
GCF_000024805.1	HOCH_RS27770	PF03787.15	RAMP superfamily	75.4	2.1e-23
GCF_000024805.1	HOCH_RS24040	PF09827.9	CRISPR associated protein Cas2	60.8	3.5e-19
GCF_000024805.1	HOCH_RS27775	PF03787.15	RAMP superfamily	79.2	1.5e-24
GCF_000024805.1	HOCH_RS35010	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	152.3	2.4e-47
GCF_000024805.1	HOCH_RS38310	PF03787.15	RAMP superfamily	74.3	4.7e-23
GCF_000024805.1	HOCH_RS06345	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	206.6	2.5e-63
GCF_000024805.1	HOCH_RS06350	PF12469.8	CRISPR-associated protein	80.8	2.6e-25
GCF_000024805.1	HOCH_RS24000	PF13280.6	WYL domain	136.5	3.1e-42
GCF_000024805.1	HOCH_RS24010	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	185.6	2.3e-57
GCF_000024805.1	HOCH_RS24015	PF09609.10	CRISPR-associated protein, GSU0054 family (Cas_GSU0054)	90.3	3.9e-28
GCF_000024805.1	HOCH_RS24035	PF01867.16	CRISPR associated protein Cas1	313.4	4e-96
GCF_000024805.1	HOCH_RS24035	PF01930.17	Domain of unknown function DUF83	75.5	1.7e-23
GCF_000024825.1	VEA_RS01170	PF13280.6	WYL domain	67.0	7.1e-21
GCF_000024825.1	VEA_RS18900	PF13280.6	WYL domain	67.6	4.5e-21
GCF_000024845.1	RMAR_RS08180	PF13280.6	WYL domain	173.0	1.9e-53
GCF_000024845.1	RMAR_RS13785	PF13280.6	WYL domain	149.0	4.7e-46
GCF_000024845.1	RMAR_RS14950	PF09609.10	CRISPR-associated protein, GSU0054 family (Cas_GSU0054)	93.7	3.6e-29
GCF_000024845.1	RMAR_RS08145	PF18211.1	Csm1 subunit domain B	99.8	2e-31
GCF_000024845.1	RMAR_RS02425	PF08798.11	CRISPR associated protein	99.2	1.3e-30
GCF_000024845.1	RMAR_RS08135	PF17953.1	CRISPR Csm4 C-terminal domain	84.6	1.1e-26
GCF_000024845.1	RMAR_RS02420	PF09704.10	CRISPR-associated protein (Cas_Cas5)	137.4	2.1e-42
GCF_000024845.1	RMAR_RS08125	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	228.8	3.1e-70
GCF_000024845.1	RMAR_RS08110	PF09827.9	CRISPR associated protein Cas2	68.9	1.1e-21
GCF_000024845.1	RMAR_RS02435	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	89.0	5.5e-28
GCF_000024845.1	RMAR_RS02430	PF01867.16	CRISPR associated protein Cas1	68.0	2.5e-21
GCF_000024845.1	RMAR_RS14150	PF03750.13	Csm2 Type III-A	111.8	1.1e-34
GCF_000024845.1	RMAR_RS14080	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	180.6	7.9e-56
GCF_000024845.1	RMAR_RS02415	PF09344.10	CT1975-like protein	337.3	4.7e-103
GCF_000024845.1	RMAR_RS14880	PF03750.13	Csm2 Type III-A	76.1	1.2e-23
GCF_000024845.1	RMAR_RS08115	PF01867.16	CRISPR associated protein Cas1	301.0	2.3e-92
GCF_000024845.1	RMAR_RS08160	PF09704.10	CRISPR-associated protein (Cas_Cas5)	61.5	3.5e-19
GCF_000024845.1	RMAR_RS14205	PF09455.10	CRISPR-associated (Cas) DxTHG family	173.5	3.2e-53
GCF_000024845.1	RMAR_RS14160	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	105.1	1.4e-32
GCF_000024845.1	RMAR_RS14155	PF18211.1	Csm1 subunit domain B	75.2	9.3e-24
GCF_000024845.1	RMAR_RS14180	PF09455.10	CRISPR-associated (Cas) DxTHG family	260.3	1.3e-79
GCF_000024845.1	RMAR_RS14200	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	91.6	1.8e-28
GCF_000024845.1	RMAR_RS14220	PF09827.9	CRISPR associated protein Cas2	62.8	8.5e-20
GCF_000024845.1	RMAR_RS14225	PF01867.16	CRISPR associated protein Cas1	317.7	1.9e-97
GCF_000024845.1	RMAR_RS08150	PF01930.17	Domain of unknown function DUF83	137.4	1.5e-42
GCF_000024845.1	RMAR_RS14435	PF13280.6	WYL domain	111.9	1.1e-34
GCF_000024845.1	RMAR_RS14530	PF09827.9	CRISPR associated protein Cas2	62.0	1.6e-19
GCF_000024845.1	RMAR_RS15045	PF01867.16	CRISPR associated protein Cas1	331.5	1.2e-101
GCF_000024845.1	RMAR_RS15045	PF01930.17	Domain of unknown function DUF83	81.7	2.1e-25
GCF_000024845.1	RMAR_RS14265	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	123.0	4.3e-38
GCF_000024865.1	SROS_RS25280	PF13280.6	WYL domain	98.6	1.3e-30
GCF_000024865.1	SROS_RS25660	PF13280.6	WYL domain	112.0	1e-34
GCF_000024865.1	SROS_RS26005	PF13280.6	WYL domain	146.1	3.5e-45
GCF_000024865.1	SROS_RS26035	PF13280.6	WYL domain	99.4	7.9e-31
GCF_000024865.1	SROS_RS34970	PF13280.6	WYL domain	159.5	2.7e-49
GCF_000024865.1	SROS_RS19880	PF13280.6	WYL domain	106.9	3.9e-33
GCF_000024865.1	SROS_RS41710	PF13280.6	WYL domain	113.0	5.1e-35
GCF_000024865.1	SROS_RS14410	PF13280.6	WYL domain	103.2	5.2e-32
GCF_000024865.1	SROS_RS19330	PF13280.6	WYL domain	117.8	1.7e-36
GCF_000024865.1	SROS_RS04990	PF13280.6	WYL domain	100.3	4.2e-31
GCF_000024865.1	SROS_RS22545	PF13280.6	WYL domain	84.4	3.1e-26
GCF_000024865.1	SROS_RS04670	PF13280.6	WYL domain	108.8	9.9e-34
GCF_000024865.1	SROS_RS02120	PF13280.6	WYL domain	98.3	1.7e-30
GCF_000024865.1	SROS_RS19705	PF13280.6	WYL domain	114.6	1.6e-35
GCF_000024865.1	SROS_RS20060	PF13280.6	WYL domain	106.6	4.8e-33
GCF_000024885.1	SDEL_RS04870	PF13280.6	WYL domain	85.8	1.2e-26
GCF_000024885.1	SDEL_RS04615	PF09827.9	CRISPR associated protein Cas2	59.8	7.6e-19
GCF_000024885.1	SDEL_RS04695	PF13280.6	WYL domain	99.5	7.1e-31
GCF_000024885.1	SDEL_RS04590	PF01905.16	CRISPR-associated negative auto-regulator DevR/Csa2	78.6	1.4e-24
GCF_000024885.1	SDEL_RS04605	PF01930.17	Domain of unknown function DUF83	161.6	5.5e-50
GCF_000024885.1	SDEL_RS04610	PF01867.16	CRISPR associated protein Cas1	265.3	1.9e-81
GCF_000024925.1	SKED_RS09105	PF13280.6	WYL domain	92.8	8.5e-29
GCF_000024925.1	SKED_RS17500	PF13280.6	WYL domain	66.2	1.3e-20
GCF_000024925.1	SKED_RS01150	PF13280.6	WYL domain	86.6	6.8e-27
GCF_000024925.1	SKED_RS09100	PF13280.6	WYL domain	85.9	1.1e-26
GCF_000024945.1	VPAR_RS09210	PF18211.1	Csm1 subunit domain B	131.5	2.5e-41
GCF_000024945.1	VPAR_RS09280	PF09827.9	CRISPR associated protein Cas2	60.3	5.1e-19
GCF_000024945.1	VPAR_RS07055	PF13280.6	WYL domain	105.4	1.1e-32
GCF_000024945.1	VPAR_RS09195	PF17953.1	CRISPR Csm4 C-terminal domain	94.1	1.2e-29
GCF_000024945.1	VPAR_RS09250	PF03787.15	RAMP superfamily	97.0	5.1e-30
GCF_000024945.1	VPAR_RS09275	PF01867.16	CRISPR associated protein Cas1	247.2	6e-76
GCF_000024965.1	XCEL_RS08950	PF13280.6	WYL domain	99.0	1e-30
GCF_000024965.1	XCEL_RS16755	PF13280.6	WYL domain	81.0	3.5e-25
GCF_000024965.1	XCEL_RS15745	PF13280.6	WYL domain	87.2	4.3e-27
GCF_000024965.1	XCEL_RS14475	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	169.2	2.6e-52
GCF_000024965.1	XCEL_RS08945	PF13280.6	WYL domain	90.7	3.8e-28
GCF_000024985.1	STHE_RS17165	PF18395.1	Cas3 C-terminal domain	61.8	2.5e-19
GCF_000024985.1	STHE_RS17140	PF08798.11	CRISPR associated protein	216.8	1.3e-66
GCF_000024985.1	STHE_RS17160	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	436.3	5.4e-133
GCF_000024985.1	STHE_RS17155	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	142.9	3.2e-44
GCF_000024985.1	STHE_RS08845	PF13280.6	WYL domain	153.3	2.2e-47
GCF_000024985.1	STHE_RS17150	PF09344.10	CT1975-like protein	425.8	6.2e-130
GCF_000024985.1	STHE_RS17135	PF01867.16	CRISPR associated protein Cas1	59.5	9.3e-19
GCF_000024985.1	STHE_RS17130	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	112.4	2.7e-35
GCF_000024985.1	STHE_RS11985	PF13280.6	WYL domain	140.6	1.7e-43
GCF_000024985.1	STHE_RS06905	PF13280.6	WYL domain	148.9	4.7e-46
GCF_000024985.1	STHE_RS17145	PF09704.10	CRISPR-associated protein (Cas_Cas5)	162.7	3.8e-50
GCF_000025005.1	TTER_RS02735	PF13280.6	WYL domain	142.1	6e-44
GCF_000025005.1	TTER_RS09650	PF09344.10	CT1975-like protein	429.0	6.6e-131
GCF_000025005.1	TTER_RS14860	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	407.0	4.1e-124
GCF_000025005.1	TTER_RS09645	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	128.4	9.6e-40
GCF_000025005.1	TTER_RS09655	PF09704.10	CRISPR-associated protein (Cas_Cas5)	191.8	4.8e-59
GCF_000025005.1	TTER_RS09900	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	195.8	4.7e-60
GCF_000025005.1	TTER_RS09670	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	120.1	1.1e-37
GCF_000025005.1	TTER_RS12245	PF01867.16	CRISPR associated protein Cas1	317.4	2.5e-97
GCF_000025005.1	TTER_RS12240	PF01930.17	Domain of unknown function DUF83	178.4	3.8e-55
GCF_000025005.1	TTER_RS12250	PF09827.9	CRISPR associated protein Cas2	65.1	1.6e-20
GCF_000025005.1	TTER_RS12225	PF05107.12	CRISPR-associated protein Cas7	206.2	2.1e-63
GCF_000025005.1	TTER_RS09660	PF08798.11	CRISPR associated protein	211.8	4.7e-65
GCF_000025005.1	TTER_RS10995	PF13280.6	WYL domain	125.9	5.6e-39
GCF_000025005.1	TTER_RS12220	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	485.4	1e-147
GCF_000025005.1	TTER_RS09920	PF09455.10	CRISPR-associated (Cas) DxTHG family	226.4	2.6e-69
GCF_000025005.1	TTER_RS09915	PF09455.10	CRISPR-associated (Cas) DxTHG family	212.8	3.6e-65
GCF_000025005.1	TTER_RS09905	PF12469.8	CRISPR-associated protein	90.4	2.8e-28
GCF_000025005.1	TTER_RS09895	PF03787.15	RAMP superfamily	83.2	8.6e-26
GCF_000025005.1	TTER_RS09890	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	125.8	3.6e-39
GCF_000025005.1	TTER_RS10265	PF13280.6	WYL domain	121.1	1.7e-37
GCF_000025005.1	TTER_RS13165	PF01881.16	CRISPR associated protein Cas6	117.2	2.9e-36
GCF_000025085.1	SLGD_RS00155	PF09659.10	CRISPR-associated protein (Cas_Csm6)	64.5	2.5e-20
GCF_000025085.1	SLGD_RS00145	PF03787.15	RAMP superfamily	64.9	3.4e-20
GCF_000025085.1	SLGD_RS00140	PF17953.1	CRISPR Csm4 C-terminal domain	92.7	3.3e-29
GCF_000025085.1	SLGD_RS00135	PF03787.15	RAMP superfamily	62.0	2.6e-19
GCF_000025085.1	SLGD_RS00115	PF01867.16	CRISPR associated protein Cas1	87.2	3.6e-27
GCF_000025085.1	SLGD_RS00130	PF03750.13	Csm2 Type III-A	82.6	1.2e-25
GCF_000025085.1	SLGD_RS00125	PF18211.1	Csm1 subunit domain B	122.8	1.3e-38
GCF_000025105.1	TNAP_RS05220	PF03750.13	Csm2 Type III-A	107.1	3.1e-33
GCF_000025105.1	TNAP_RS05205	PF01881.16	CRISPR associated protein Cas6	130.9	1.7e-40
GCF_000025105.1	TNAP_RS02070	PF03787.15	RAMP superfamily	71.9	2.6e-22
GCF_000025105.1	TNAP_RS05210	PF09455.10	CRISPR-associated (Cas) DxTHG family	156.4	5.1e-48
GCF_000025105.1	TNAP_RS05215	PF18211.1	Csm1 subunit domain B	107.3	9e-34
GCF_000025105.1	TNAP_RS05235	PF03787.15	RAMP superfamily	79.3	1.3e-24
GCF_000025105.1	TNAP_RS05225	PF03787.15	RAMP superfamily	70.9	5.2e-22
GCF_000025185.1	PSTA_RS05635	PF03787.15	RAMP superfamily	180.0	2.1e-55
GCF_000025185.1	PSTA_RS10285	PF13280.6	WYL domain	144.9	8.2e-45
GCF_000025185.1	PSTA_RS11105	PF13280.6	WYL domain	130.8	1.8e-40
GCF_000025185.1	PSTA_RS21915	PF13280.6	WYL domain	145.3	6.2e-45
GCF_000025185.1	PSTA_RS05610	PF01867.16	CRISPR associated protein Cas1	163.6	1.8e-50
GCF_000025265.1	CWOE_RS01430	PF13280.6	WYL domain	97.8	2.4e-30
GCF_000025265.1	CWOE_RS04600	PF13280.6	WYL domain	112.6	6.7e-35
GCF_000025265.1	CWOE_RS29050	PF13280.6	WYL domain	205.8	1.6e-63
GCF_000025265.1	CWOE_RS00220	PF13280.6	WYL domain	110.7	2.6e-34
GCF_000025265.1	CWOE_RS03635	PF13280.6	WYL domain	93.7	4.3e-29
GCF_000025265.1	CWOE_RS17040	PF13280.6	WYL domain	124.2	1.9e-38
GCF_000025305.1	ACFER_RS04005	PF01867.16	CRISPR associated protein Cas1	326.2	4.9e-100
GCF_000025305.1	ACFER_RS04010	PF09827.9	CRISPR associated protein Cas2	80.7	2.2e-25
GCF_000025305.1	ACFER_RS03995	PF05107.12	CRISPR-associated protein Cas7	370.7	1.3e-113
GCF_000025305.1	ACFER_RS02370	PF13280.6	WYL domain	129.9	3.4e-40
GCF_000025305.1	ACFER_RS03990	PF09709.10	CRISPR-associated protein (Cas_Csd1)	544.9	7.7e-166
GCF_000025305.1	ACFER_RS03985	PF09704.10	CRISPR-associated protein (Cas_Cas5)	118.8	1e-36
GCF_000025305.1	ACFER_RS04000	PF01930.17	Domain of unknown function DUF83	116.1	5.5e-36
GCF_000025345.1	GOBS_RS13125	PF13280.6	WYL domain	117.6	1.9e-36
GCF_000025345.1	GOBS_RS18835	PF13280.6	WYL domain	100.0	5e-31
GCF_000025345.1	GOBS_RS13120	PF13280.6	WYL domain	103.3	4.8e-32
GCF_000025485.1	ALVIN_RS15600	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	263.1	1.8e-80
GCF_000025485.1	ALVIN_RS00175	PF13280.6	WYL domain	102.8	7.2e-32
GCF_000025485.1	ALVIN_RS03215	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	124.0	6.5e-39
GCF_000025485.1	ALVIN_RS15650	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	205.9	1.9e-63
GCF_000025485.1	ALVIN_RS03235	PF09704.10	CRISPR-associated protein (Cas_Cas5)	132.9	5e-41
GCF_000025485.1	ALVIN_RS03230	PF08798.11	CRISPR associated protein	147.9	1.6e-45
GCF_000025485.1	ALVIN_RS16750	PF01867.16	CRISPR associated protein Cas1	225.3	2.8e-69
GCF_000025485.1	ALVIN_RS15655	PF09652.10	Putative CRISPR-associated protein (Cas_VVA1548)	129.1	1.9e-40
GCF_000025485.1	ALVIN_RS15585	PF09651.10	CRISPR-associated protein (Cas_APE2256)	82.1	1.1e-25
GCF_000025485.1	ALVIN_RS15595	PF12469.8	CRISPR-associated protein	68.0	2.5e-21
GCF_000025485.1	ALVIN_RS15610	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	98.9	8.1e-31
GCF_000025485.1	ALVIN_RS15605	PF03787.15	RAMP superfamily	75.8	1.6e-23
GCF_000025485.1	ALVIN_RS03240	PF09344.10	CT1975-like protein	345.6	1.5e-105
